mask_set,class,filename,corresponding_image,image_match,mask_match,foreground_pixels,foreground_percentage,duplicate_of_flat_mask,relationship,confidence,evidence
nested,Oil,00044_segmentation.tif,,False,,125970,3.0034,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00044.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00045_segmentation.tif,00045.tif,True,,13737,0.3275,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=13737 vs flat fg=29911
nested,Oil,00046_segmentation.tif,00046.tif,True,,1172485,27.9542,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=1172485 vs flat fg=68289
nested,Oil,00047_segmentation.tif,00047.tif,True,,162208,3.8673,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=162208 vs flat fg=34935
nested,Oil,00048_segmentation.tif,00048.tif,True,,52275,1.2463,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=52275 vs flat fg=50734
nested,Oil,00049_segmentation.tif,,False,,52527,1.2523,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00049.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00050_segmentation.tif,00050.tif,True,,445228,10.6151,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=445228 vs flat fg=137579
nested,Oil,00051_segmentation.tif,00051.tif,True,,87722,2.0915,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=87722 vs flat fg=1335221
nested,Oil,00052_segmentation.tif,00052.tif,True,,94273,2.2476,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=94273 vs flat fg=2072810
nested,Oil,00053_segmentation.tif,00053.tif,True,,948021,22.6026,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=948021 vs flat fg=2406440
nested,Oil,00054_segmentation.tif,00054.tif,True,,1104092,26.3236,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=1104092 vs flat fg=1097578
nested,Oil,00055_segmentation.tif,00055.tif,True,,112627,2.6852,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=112627 vs flat fg=1007739
nested,Oil,00056_segmentation.tif,00056.tif,True,,35006,0.8346,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=35006 vs flat fg=1550583
nested,Oil,00057_segmentation.tif,00057.tif,True,,271924,6.4832,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=271924 vs flat fg=2085247
nested,Oil,00058_segmentation.tif,00058.tif,True,,706727,16.8497,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=706727 vs flat fg=1325918
nested,Oil,00059_segmentation.tif,00059.tif,True,,1627944,38.8132,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=1627944 vs flat fg=572325
nested,Oil,00060_segmentation.tif,,False,,12069,0.2877,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00060.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00061_segmentation.tif,00061.tif,True,,1111841,26.5084,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=1111841 vs flat fg=22912
nested,Oil,00062_segmentation.tif,00062.tif,True,,17857,0.4257,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=17857 vs flat fg=24162
nested,Oil,00063_segmentation.tif,,False,,62227,1.4836,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00063.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00064_segmentation.tif,00064.tif,True,,81910,1.9529,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=81910 vs flat fg=52620
nested,Oil,00065_segmentation.tif,00065.tif,True,,305445,7.2824,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=305445 vs flat fg=29409
nested,Oil,00066_segmentation.tif,,False,,92589,2.2075,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00066.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00067_segmentation.tif,00067.tif,True,,3284866,78.3173,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=3284866 vs flat fg=44310
nested,Oil,00068_segmentation.tif,,False,,1402582,33.4402,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00068.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00069_segmentation.tif,00069.tif,True,,298660,7.1206,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=298660 vs flat fg=52621
nested,Oil,00070_segmentation.tif,,False,,156036,3.7202,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00070.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00071_segmentation.tif,,False,,94498,2.253,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00071.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00072_segmentation.tif,,False,,474976,11.3243,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00072.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00073_segmentation.tif,00073.tif,True,,408049,9.7286,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=408049 vs flat fg=180003
nested,Oil,00074_segmentation.tif,00074.tif,True,,99835,2.3803,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=99835 vs flat fg=228492
nested,Oil,00075_segmentation.tif,00075.tif,True,,318004,7.5818,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=318004 vs flat fg=246648
nested,Oil,00076_segmentation.tif,00076.tif,True,,92616,2.2081,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=92616 vs flat fg=208701
nested,Oil,00077_segmentation.tif,00077.tif,True,,804382,19.178,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=804382 vs flat fg=154900
nested,Oil,00078_segmentation.tif,00078.tif,True,,315400,7.5197,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=315400 vs flat fg=165351
nested,Oil,00079_segmentation.tif,00079.tif,True,,389731,9.2919,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=389731 vs flat fg=174282
nested,Oil,00080_segmentation.tif,00080.tif,True,,314865,7.507,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=314865 vs flat fg=128475
nested,Oil,00081_segmentation.tif,,False,,15586,0.3716,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00081.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00082_segmentation.tif,00082.tif,True,,120582,2.8749,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=120582 vs flat fg=30873
nested,Oil,00083_segmentation.tif,,False,,310964,7.414,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00083.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00084_segmentation.tif,00084.tif,True,,116983,2.7891,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=116983 vs flat fg=61329
nested,Oil,00085_segmentation.tif,00085.tif,True,,177045,4.2211,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=177045 vs flat fg=219572
nested,Oil,00086_segmentation.tif,00086.tif,True,,259003,6.1751,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=259003 vs flat fg=208387
nested,Oil,00087_segmentation.tif,00087.tif,True,,536086,12.7813,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=536086 vs flat fg=32172
nested,Oil,00088_segmentation.tif,00088.tif,True,,24762,0.5904,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=24762 vs flat fg=148431
nested,Oil,00089_segmentation.tif,00089.tif,True,,150683,3.5926,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=150683 vs flat fg=646509
nested,Oil,00090_segmentation.tif,00090.tif,True,,50541,1.205,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=50541 vs flat fg=437075
nested,Oil,00091_segmentation.tif,00091.tif,True,,36024,0.8589,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=36024 vs flat fg=303825
nested,Oil,00092_segmentation.tif,00092.tif,True,,225268,5.3708,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=225268 vs flat fg=381437
nested,Oil,00093_segmentation.tif,00093.tif,True,,833474,19.8716,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=833474 vs flat fg=56520
nested,Oil,00094_segmentation.tif,00094.tif,True,,67594,1.6116,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=67594 vs flat fg=55477
nested,Oil,00095_segmentation.tif,00095.tif,True,,131667,3.1392,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=131667 vs flat fg=56518
nested,Oil,00096_segmentation.tif,00096.tif,True,,122621,2.9235,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=122621 vs flat fg=21230
nested,Oil,00097_segmentation.tif,00097.tif,True,,217081,5.1756,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=217081 vs flat fg=84011
nested,Oil,00098_segmentation.tif,00098.tif,True,,55821,1.3309,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=55821 vs flat fg=59204
nested,Oil,00099_segmentation.tif,00099.tif,True,,135519,3.231,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=135519 vs flat fg=62266
nested,Oil,00100_segmentation.tif,00100.tif,True,,240601,5.7364,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=240601 vs flat fg=95335
nested,Oil,00101_segmentation.tif,00101.tif,True,,169077,4.0311,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=169077 vs flat fg=83492
nested,Oil,00102_segmentation.tif,00102.tif,True,,69883,1.6661,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=69883 vs flat fg=179650
nested,Oil,00103_segmentation.tif,00103.tif,True,,181209,4.3204,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=181209 vs flat fg=37941
nested,Oil,00104_segmentation.tif,00104.tif,True,,2755883,65.7054,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=2755883 vs flat fg=49711
nested,Oil,00105_segmentation.tif,,False,,27196,0.6484,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00105.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00106_segmentation.tif,,False,,40941,0.9761,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00106.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00107_segmentation.tif,,False,,240072,5.7238,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00107.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00108_segmentation.tif,00108.tif,True,,1143850,27.2715,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=1143850 vs flat fg=26514
nested,Oil,00109_segmentation.tif,,False,,40629,0.9687,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00109.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00110_segmentation.tif,,False,,354159,8.4438,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00110.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00111_segmentation.tif,00111.tif,True,,780485,18.6082,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=780485 vs flat fg=34687
nested,Oil,00112_segmentation.tif,00112.tif,True,,77823,1.8554,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=77823 vs flat fg=70192
nested,Oil,00113_segmentation.tif,00113.tif,True,,70802,1.6881,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=70802 vs flat fg=23627
nested,Oil,00114_segmentation.tif,00114.tif,True,,163792,3.9051,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=163792 vs flat fg=50641
nested,Oil,00115_segmentation.tif,00115.tif,True,,146570,3.4945,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=146570 vs flat fg=18291
nested,Oil,00116_segmentation.tif,00116.tif,True,,40256,0.9598,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=40256 vs flat fg=34004
nested,Oil,00117_segmentation.tif,00117.tif,True,,173000,4.1246,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=173000 vs flat fg=25332
nested,Oil,00118_segmentation.tif,00118.tif,True,,13890,0.3312,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=13890 vs flat fg=14867
nested,Oil,00119_segmentation.tif,00119.tif,True,,101635,2.4232,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=101635 vs flat fg=47742
nested,Oil,00120_segmentation.tif,,False,,242954,5.7925,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00120.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00121_segmentation.tif,00121.tif,True,,195403,4.6588,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=195403 vs flat fg=34303
nested,Oil,00122_segmentation.tif,,False,,976258,23.2758,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00122.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00123_segmentation.tif,00123.tif,True,,227501,5.424,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=227501 vs flat fg=26234
nested,Oil,00124_segmentation.tif,,False,,559888,13.3488,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00124.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00125_segmentation.tif,,False,,461751,11.009,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00125.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00126_segmentation.tif,00126.tif,True,,11885,0.2834,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=11885 vs flat fg=58903
nested,Oil,00127_segmentation.tif,00127.tif,True,,1096623,26.1455,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=1096623 vs flat fg=134000
nested,Oil,00128_segmentation.tif,,False,,11188,0.2667,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00128.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00129_segmentation.tif,,False,,201166,4.7962,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00129.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00130_segmentation.tif,00130.tif,True,,132046,3.1482,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=132046 vs flat fg=24720
nested,Oil,00131_segmentation.tif,00131.tif,True,,19369,0.4618,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=19369 vs flat fg=148314
nested,Oil,00132_segmentation.tif,00132.tif,True,,82855,1.9754,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=82855 vs flat fg=18402
nested,Oil,00133_segmentation.tif,00133.tif,True,,971552,23.1636,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=971552 vs flat fg=112051
nested,Oil,00134_segmentation.tif,00134.tif,True,,49988,1.1918,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=49988 vs flat fg=655762
nested,Oil,00135_segmentation.tif,00135.tif,True,,146539,3.4938,,SAME_ID.content-differs(alt-annotation-or-different-sample),MEDIUM,same basename ID but arrays differ: nested fg=146539 vs flat fg=19544
nested,Oil,00136_segmentation.tif,,False,,287434,6.853,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00136.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00137_segmentation.tif,,False,,62774,1.4966,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00137.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
nested,Oil,00138_segmentation.tif,,False,,464796,11.0816,,NO_SAME_ID_IN_FLAT_SET(unexplained-subset),MEDIUM,no 00138.tif in flat set; nested IDs are 00000-00149 _segmentation.tif
